2026-04-22 00:10:14 | INFO     | logging_config:50 | Logger initialised — writing to logs\trading_bot_20260422.log
2026-04-22 00:10:14 | INFO     | client:65 | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-04-22 00:10:14 | DEBUG    | client:116 | REQUEST  GET https://testnet.binancefuture.com/fapi/v1/time  params={}
2026-04-22 00:10:16 | DEBUG    | client:134 | RESPONSE GET https://testnet.binancefuture.com/fapi/v1/time  status=200  body={"serverTime":1776796817779}
2026-04-22 00:10:29 | INFO     | logging_config:50 | Logger initialised — writing to logs\trading_bot_20260422.log
2026-04-22 00:10:29 | INFO     | client:65 | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-04-22 00:10:29 | INFO     | client:207 | Placing BUY MARKET order — symbol=BTCUSDT  qty=0.001  price=None  stopPrice=None
2026-04-22 00:10:29 | DEBUG    | client:116 | REQUEST  POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1776796829665, 'recvWindow': 5000}
2026-04-22 00:10:30 | DEBUG    | client:134 | RESPONSE POST https://testnet.binancefuture.com/fapi/v1/order  status=401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-04-22 00:10:30 | ERROR    | client:146 | API ERROR  code=-2015  msg=Invalid API-key, IP, or permissions for action
2026-04-22 00:10:30 | ERROR    | orders:112 | Order failed — Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-04-22 00:17:44 | INFO     | logging_config:50 | Logger initialised — writing to logs\trading_bot_20260422.log
2026-04-22 00:17:44 | INFO     | client:66 | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-04-22 00:17:44 | DEBUG    | client:117 | REQUEST  GET https://testnet.binancefuture.com/fapi/v1/time  params={}
2026-04-22 00:17:45 | DEBUG    | client:135 | RESPONSE GET https://testnet.binancefuture.com/fapi/v1/time  status=200  body={"serverTime":1776797266372}
2026-04-22 00:18:18 | INFO     | logging_config:50 | Logger initialised — writing to logs\trading_bot_20260422.log
2026-04-22 00:18:18 | INFO     | client:66 | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-04-22 00:18:18 | INFO     | client:208 | Placing BUY MARKET order — symbol=BTCUSDT  qty=0.001  price=None  stopPrice=None
2026-04-22 00:18:18 | DEBUG    | client:117 | REQUEST  POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1776797298337, 'recvWindow': 5000}
2026-04-22 00:18:20 | DEBUG    | client:135 | RESPONSE POST https://testnet.binancefuture.com/fapi/v1/order  status=401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-04-22 00:18:20 | ERROR    | client:147 | API ERROR  code=-2015  msg=Invalid API-key, IP, or permissions for action
2026-04-22 00:18:20 | ERROR    | orders:112 | Order failed — Binance API error -2015: Invalid API-key, IP, or permissions for action
2026-04-22 00:18:33 | INFO     | logging_config:50 | Logger initialised — writing to logs\trading_bot_20260422.log
2026-04-22 00:18:33 | INFO     | client:66 | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2026-04-22 00:18:33 | INFO     | client:208 | Placing SELL LIMIT order — symbol=BTCUSDT  qty=0.001  price=100000.0  stopPrice=None
